Date,Adj_Close,Open,High,Low,Vol.,Change %
11/25/2021,2649.9,"2,663.60","2,669.70","2,643.80",,-0.06%
11/24/2021,2651.4,"2,643.30","2,654.60","2,619.80",,0.64%
11/23/2021,2634.5,"2,657.50","2,664.30","2,631.60",,-1.59%
11/22/2021,2677.1,"2,676.30","2,683.40","2,659.40",,0.65%
11/19/2021,2659.9,"2,703.20","2,706.40","2,643.30",,-1.16%
11/18/2021,2691.2,"2,706.90","2,712.30","2,684.90",,-0.60%
11/17/2021,2707.4,"2,707.80","2,713.20","2,703.00",,0.02%
11/16/2021,2706.9,"2,721.10","2,721.60","2,705.40",,-0.18%
11/15/2021,2711.8,"2,694.70","2,712.80","2,693.40",,0.49%
11/12/2021,2698.6,"2,691.50","2,699.30","2,683.40",,0.40%
11/11/2021,2687.8,"2,678.00","2,690.80","2,674.60",,0.24%
11/10/2021,2681.4,"2,682.40","2,686.10","2,667.80",,0.40%
11/09/2021,2670.7,"2,691.70","2,697.10","2,670.70",,-0.93%
11/08/2021,2695.7,"2,707.40","2,708.10","2,695.70",,-0.36%
11/05/2021,2705.4,"2,677.60","2,711.80","2,676.60",,1.11%
11/04/2021,2675.6,"2,676.10","2,680.50","2,666.30",,0.51%
11/03/2021,2661.9,"2,641.30","2,662.40","2,640.60",,0.65%
11/02/2021,2644.8,"2,643.10","2,649.20","2,636.20",,-0.05%
11/01/2021,2646.0,"2,630.60","2,656.00","2,627.40",,1.13%
10/29/2021,2616.4,"2,600.50","2,619.30","2,589.80",,0.06%
10/28/2021,2614.9,"2,610.10","2,620.10","2,602.70",,0.26%
10/27/2021,2608.1,"2,619.80","2,620.80","2,602.70",,-0.54%
10/26/2021,2622.3,"2,613.90","2,630.60","2,610.10",,0.60%
10/25/2021,2606.6,"2,586.30","2,609.10","2,584.10",,0.87%
10/22/2021,2584.1,"2,584.80","2,595.60","2,582.20",,0.14%
10/21/2021,2580.4,"2,566.50","2,589.80","2,565.80",,-0.15%
10/20/2021,2584.4,"2,554.80","2,587.80","2,553.60",,0.91%
10/19/2021,2561.2,"2,555.80","2,566.00","2,552.80",,0.29%
10/18/2021,2553.8,"2,560.70","2,566.00","2,543.10",,-0.32%
10/15/2021,2562.1,"2,558.20","2,568.50","2,548.40",,0.81%
10/14/2021,2541.6,"2,525.90","2,545.70","2,521.80",,1.27%
10/13/2021,2509.8,"2,505.90","2,518.60","2,499.80",,-0.12%
10/12/2021,2512.7,"2,478.50","2,514.20","2,474.60",,0.22%
10/11/2021,2507.3,"2,512.00","2,519.60","2,495.10",,-0.47%
10/08/2021,2519.1,"2,519.30","2,524.00","2,508.30",,0.21%
10/07/2021,2513.7,"2,506.80","2,519.10","2,490.70",,1.49%
10/06/2021,2476.8,"2,488.80","2,488.80","2,448.20",,-1.24%
10/05/2021,2507.8,"2,468.70","2,508.30","2,467.00",,1.89%
10/04/2021,2461.3,"2,468.20","2,487.30","2,455.80",,-0.61%
10/01/2021,2476.5,"2,453.30","2,488.80","2,443.00",,-0.28%
09/30/2021,2483.4,"2,505.20","2,507.80","2,470.70",,-0.16%
09/29/2021,2487.3,"2,484.30","2,497.10","2,472.60",,0.57%
09/28/2021,2473.3,"2,533.00","2,536.20","2,472.60",,-2.10%
09/27/2021,2526.4,"2,529.60","2,531.80","2,514.70",,0.62%
09/24/2021,2510.8,"2,513.40","2,521.50","2,505.40",,-0.40%
09/23/2021,2520.8,"2,504.40","2,522.00","2,498.10",,1.48%
09/22/2021,2484.1,"2,467.20","2,485.60","2,456.50",,1.41%
09/21/2021,2449.6,"2,437.70","2,457.90","2,430.60",,1.21%
09/20/2021,2420.3,"2,452.10","2,453.10","2,408.60",,-2.45%
09/17/2021,2481.2,"2,522.50","2,523.00","2,477.20",,-0.95%
09/16/2021,2504.9,"2,501.90","2,517.10","2,499.50",,0.85%
09/15/2021,2483.8,"2,511.20","2,511.20","2,475.10",,-1.02%
09/14/2021,2509.3,"2,502.20","2,519.10","2,497.10",,0.45%
09/13/2021,2498.1,"2,487.80","2,507.30","2,486.30",,-0.56%
09/10/2021,2512.2,"2,539.60","2,542.10","2,507.80",,-0.88%
09/09/2021,2534.5,"2,515.20","2,543.30","2,507.80",,0.15%
09/08/2021,2530.8,"2,525.20","2,548.90","2,514.70",,-0.73%
09/07/2021,2549.4,"2,566.00","2,569.40","2,546.40",,-0.77%
09/06/2021,2569.2,"2,556.20","2,572.40","2,556.20",,0.74%
09/03/2021,2550.4,"2,564.10","2,568.00","2,539.60",,-0.59%
09/02/2021,2565.6,"2,558.70","2,568.20","2,557.70",,0.17%
09/01/2021,2561.2,"2,561.60","2,582.20","2,552.30",,0.63%
