Date,Adj_Close,Open,High,Low,Vol.,Change %
2019-09-09,1689.21,"1,671.44","1,689.21","1,663.77",38.72B,1.91%
2019-09-06,1657.5,"1,657.91","1,660.01","1,644.33",33.15B,0.36%
2019-09-05,1651.63,"1,644.74","1,670.14","1,644.69",43.07B,0.93%
2019-09-04,1636.4,"1,622.39","1,636.40","1,619.33",33.05B,0.67%
2019-09-03,1625.56,"1,617.79","1,625.56","1,611.84",31.01B,0.66%
2019-09-02,1614.92,"1,581.50","1,616.69","1,581.01",30.14B,2.26%
2019-08-30,1579.25,"1,599.26","1,603.14","1,570.72",31.25B,-0.74%
2019-08-29,1591.08,"1,596.06","1,598.97","1,587.06",27.25B,-0.17%
2019-08-28,1593.82,"1,596.53","1,598.92","1,587.02",28.58B,-0.13%
2019-08-27,1595.82,"1,576.44","1,604.83","1,576.44",31.20B,1.87%
2019-08-26,1566.57,"1,547.83","1,570.94","1,545.90",25.74B,-0.77%
2019-08-23,1578.7,"1,579.69","1,585.64","1,571.41",26.21B,-0.01%
2019-08-22,1578.91,"1,576.60","1,579.15","1,567.05",25.72B,0.40%
2019-08-21,1572.62,"1,570.72","1,578.51","1,567.39",24.92B,-0.10%
2019-08-20,1574.12,"1,574.98","1,584.03","1,569.84",29.37B,0.14%
2019-08-19,1571.97,"1,542.32","1,571.97","1,539.77",30.36B,3.05%
2019-08-16,1525.48,"1,516.66","1,536.98","1,515.08",22.07B,0.55%
2019-08-15,1517.07,"1,477.55","1,517.07","1,473.09",21.28B,0.53%
2019-08-14,1509.0,"1,518.09","1,523.23","1,507.35",20.75B,0.69%
2019-08-13,1498.63,"1,497.83","1,503.85","1,492.97",17.06B,-0.69%
2019-08-12,1508.99,"1,482.89","1,508.99","1,479.71",18.39B,1.97%
2019-08-09,1479.86,"1,505.81","1,507.68","1,477.36",19.51B,-1.27%
2019-08-08,1498.95,"1,491.42","1,501.77","1,490.34",17.68B,1.01%
2019-08-07,1483.95,"1,499.45","1,502.38","1,483.95",18.91B,-0.43%
2019-08-06,1490.3,"1,488.91","1,496.45","1,458.06",27.43B,-1.78%
2019-08-05,1517.27,"1,534.27","1,546.23","1,517.27",20.39B,-1.47%
2019-08-02,1539.86,"1,528.97","1,541.82","1,523.37",22.86B,-1.48%
2019-08-01,1563.06,"1,563.53","1,572.16","1,555.60",18.91B,-0.52%
2019-07-31,1571.3,"1,578.55","1,578.55","1,569.55",18.53B,-0.68%
2019-07-30,1582.07,"1,575.88","1,592.95","1,575.88",20.69B,0.45%
2019-07-29,1574.95,"1,573.91","1,578.34","1,567.92",18.66B,0.10%
2019-07-26,1573.45,"1,568.08","1,575.53","1,565.04",18.57B,0.04%
2019-07-25,1572.8,"1,562.83","1,573.38","1,560.05",21.29B,0.63%
2019-07-24,1562.97,"1,550.16","1,570.36","1,550.16",21.40B,1.11%
2019-07-23,1545.87,"1,532.67","1,545.87","1,532.67",16.81B,0.88%
2019-07-22,1532.43,"1,562.53","1,563.41","1,527.52",21.85B,-1.78%
2019-07-19,1560.27,"1,554.41","1,572.69","1,554.41",20.05B,0.75%
2019-07-18,1548.64,"1,567.14","1,567.14","1,548.61",22.24B,-1.63%
2019-07-17,1574.35,"1,570.15","1,581.97","1,565.15",23.51B,0.16%
2019-07-16,1571.81,"1,570.08","1,575.56","1,566.87",21.13B,-0.03%
2019-07-15,1572.34,"1,551.31","1,578.70","1,531.98",24.16B,1.00%
2019-07-12,1556.77,"1,550.21","1,560.30","1,542.35",18.62B,0.51%
2019-07-11,1548.93,"1,558.84","1,569.70","1,542.64",19.03B,-0.13%
2019-07-10,1550.87,"1,562.45","1,563.79","1,545.08",18.73B,-0.46%
2019-07-09,1558.11,"1,553.60","1,561.47","1,543.93",18.81B,0.21%
2019-07-08,1554.8,"1,597.71","1,597.73","1,546.18",26.03B,-2.90%
2019-07-05,1601.2,"1,592.43","1,604.85","1,587.01",19.87B,0.63%
2019-07-04,1591.24,"1,602.18","1,606.42","1,583.67",23.28B,-0.55%
2019-07-03,1600.02,"1,614.55","1,614.58","1,593.37",26.05B,-1.18%
2019-07-02,1619.12,"1,615.38","1,621.78","1,610.28",30.65B,0.16%
2019-07-01,1616.55,"1,594.85","1,616.55","1,587.91",33.77B,3.46%
2019-06-28,1562.42,"1,576.58","1,576.58","1,553.75",24.30B,-0.96%
2019-06-27,1577.56,"1,565.17","1,583.58","1,565.17",25.87B,1.09%
2019-06-26,1560.51,"1,551.64","1,568.46","1,546.86",22.38B,0.00%
2019-06-25,1560.46,"1,574.17","1,574.17","1,541.91",28.00B,-0.99%
2019-06-24,1576.09,"1,578.90","1,581.79","1,568.63",28.61B,-0.09%
2019-06-21,1577.44,"1,567.07","1,582.28","1,566.93",35.17B,1.34%
2019-06-20,1556.6,"1,525.50","1,563.32","1,520.05",31.72B,1.95%
2019-06-19,1526.77,"1,542.46","1,548.72","1,526.07",27.53B,1.48%
2019-06-18,1504.57,"1,502.91","1,510.97","1,492.59",19.37B,0.16%
2019-06-17,1502.12,"1,504.24","1,513.62","1,496.82",20.52B,-0.20%
2019-06-14,1505.06,"1,534.24","1,539.06","1,503.80",27.37B,-1.81%
